Student ID,Risk Signals,Attendance %,Grades,Discipline Incidents,Counselor Visits,Previous Alerts,Social Post,Risk Score,NLP Score,Action
S1077,None,61,1.92,3,0,0,Can't focus anymore,8,1,👀 Add to Watchlist
S1078,Aggressive behavior,81,2.28,1,0,0,Life is hard,7,1,👀 Add to Watchlist
S1079,Skipping classes,61,2.37,2,3,3,Had a great day,13,0,🚨 Escalate to Counselor
S1080,None,67,2.8,2,1,0,Feeling overwhelmed,6,1,👀 Add to Watchlist
S1081,Disruptive in class,64,3.53,3,3,0,Feeling overwhelmed,10,1,🚨 Escalate to Counselor
S1082,Falling asleep in class,89,2.99,3,3,2,Feeling overwhelmed,9,1,👀 Add to Watchlist
S1083,Falling asleep in class,40,1.27,4,1,2,Had a great day,13,0,🚨 Escalate to Counselor
S1084,Aggressive behavior,98,2.41,4,1,1,Nobody understands me,11,1,🚨 Escalate to Counselor
S1085,Falling asleep in class,78,2.14,1,3,2,Had a great day,8,0,👀 Add to Watchlist
S1086,Falling asleep in class,40,3.05,2,1,1,Feeling overwhelmed,12,1,🚨 Escalate to Counselor
S1087,Falling asleep in class,69,2.83,3,0,2,Nobody understands me,12,1,🚨 Escalate to Counselor
S1088,Falling asleep in class,48,3.23,4,1,1,I feel like giving up,12,1,🚨 Escalate to Counselor
S1089,Aggressive behavior,58,1.44,5,0,0,Had a great day,11,0,🚨 Escalate to Counselor
S1090,Aggressive behavior,54,3.62,2,2,1,Things are okay,11,0,🚨 Escalate to Counselor
S1091,None,48,3.25,2,2,3,Can't focus anymore,8,1,👀 Add to Watchlist
S1092,Falling asleep in class,51,1.46,2,0,3,Can't focus anymore,14,1,🚨 Escalate to Counselor
S1093,Aggressive behavior,81,1.82,5,1,3,Excited for the weekend!,10,0,🚨 Escalate to Counselor
S1094,Skipping classes,55,1.35,5,1,3,I hate everything right now,14,1,🚨 Escalate to Counselor
S1095,Disruptive in class,76,3.28,0,0,0,Had a great day,4,0,✅ No Action Needed
S1096,Disruptive in class,65,2.73,1,3,3,Excited for the weekend!,9,0,👀 Add to Watchlist
S1097,None,75,1.1,0,0,2,Excited for the weekend!,4,0,✅ No Action Needed
S1098,Skipping classes,91,3.69,5,0,1,Nobody understands me,9,1,👀 Add to Watchlist
S1099,Falling asleep in class,72,3.05,5,0,1,Feeling overwhelmed,9,1,👀 Add to Watchlist
